Sigla da IES;Instituição;Patente;Autores
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;USO DE MOLÉCULAS SINTÉTICAS DE DNA RECOMBINANTE PARA O AUMENTO DE TOLERÂNCIA A SMOLTIFICAÇÃO EM SALMONÍDEOS;['VINICIUS FARIAS CAMPOS', 'LUANA FERREIRA VIANA DOS REIS', 'MARIANA CAVALCANTI NASCIMENTO', 'LAIS DOS SANTOS GONCALVES', 'LEANDRO SILVA NUNES', 'WILLIAM BORGES DOMINGUES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA BIODEGRADÁVEL CARREADOR DE MOLÉCULAS HERBICIDAMENTE ATIVAS;['ANDRE RICARDO FAJARDO', 'MATEUS VICENTE ALVES', 'ANDRESSA BAPTISTA NORNBERG', 'EDINALVO RABAIOLI CAMARGO']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPLEXO TERNÁRIO, SEU PROCESSO DE PRODUÇÃO, SEUS USOS E FORMULAÇÃO;['SIDNEI MOURA E SILVA']
FEEVALE;UNIVERSIDADE FEEVALE;ARGAMASSA PARA CONTRAPISO COM RESÍDUOS DE PINUS PARA ISOLAMENTO TÉRMICO E ACÚSTICO E SEU PROCESSO DE OBTENÇÃO;['ADRIANA TERESINHA DA SILVA DUTRA', 'CASSINAO KAISER', 'LETICIA LANGE', 'CAROLINA SILVEIRA BARLEM GEMELLI', 'DAIANA CRISTINA METZ ARNOLD']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE OBTENÇÃO DE BIOCHAR MAGNÉTICO E USO DO BIOCHAR MAGNÉTICO COMO ADSORVENTE DE GLIFOSATO EM MATRIZ AQUOSA;['JORGE ALBERTO VIEIRA COSTA', 'MUNISE ZAPAROLI', 'MICHELE GREQUE DE MORAIS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO PRODUÇÃO DE BIODIESEL A PARTIR DE BIOMASSA ÚMIDA DE MICROALGAS NA PRESENÇA DE SOLVENTE DISPERSOR;['EDNEI GILBERTO PRIMEL', 'DIEGO DA COSTA CABRERA', 'MARCELO GONCALVES MONTES DOCA', 'RENATA RODRIGUES DE MOURA', 'PAULO CESAR OLIVEIRA VERGNE DE ABREU']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;USO DE ESPONJA POROSA DE QUITOSANA PARA REMOÇÃO DE PETRÓLEO EM SISTEMA AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ARIANE BORGES RIBEIRO', 'FRANCISCA ZUCHOSKI RIZZI', 'VIVIANE DE CARVALHO ARABIDIAN', 'RAFAEL GERHARDT', 'ALINE OLIVEIRA E SILVA IAHNKE', 'BRUNA SILVA DE FARIAS', 'ROMULO HENRIQUE BATISTA DE FARIAS', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ÓLEO DE COCO COM MICROALGAS PARA APLICAÇÕES ALIMENTARES E EM COSMÉTICOS;['VINICIUS FARIAS CAMPOS', 'ANDRESSA COIMBRA PEREIRA', 'PATRICIA DE MOURA ALMEIDA', 'LUCAS PETITEMBERTE DE SOUZA', 'WILLIAM BORGES DOMINGUES', 'NYELSON DA SILVA NONATO', 'MARIA HELENA JUVITO DA COSTA', 'CRISTIANE FRANCISCA DA COSTA SASSI', 'DARLAN AZEVEDO PEREIRA', 'NATALY ALBUQUERQUE DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"VACINA CONTRA O CARRAPATO BOVINO CONTENDO DUAS PROTEÍNAS OU PEPTÍDEOS DERIVADOS. (NÚMERO DO REGISTRO: BR1020150176732; BRASIL)  E  VACUNA CONTRA LA GARRAPATA BOVINA CONTENIENDO DOS PROTEÍNAS O PÉPTIDOS DERIVADOS.";['ITABAJARA DA SILVA VAZ JUNIOR', 'URUGUAYSITO LORELEY BENAVIDES PERALTA', 'GABRIELA ALVES SABADIN', 'MARIA FERNANDA ALZUGARAY GASTELLU', 'ADRIANA SEIXAS', 'LUCAS TIRLONI', 'LUIS FERNANDO PARIZI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE PRODUÇÃO DE MATERIAL COMPREENDENDO ZEÓLITAS (ZSM) COM SUPERFÍCIE MODIFICADA POR NANOPARTÍCULAS DE ÓXIDO DE COBRE E/OU NANOPARTÍCULAS DE COBRE METÁLICO APLICADAS EM PROCESSOS DE CATÁLISE HETEROGÊNEA NA CONVERSÃO DE GLICEROL E ACROLEINA COM EXCELENTE SELETIVIDADE PARA ÁLCOOL ALÍLICO;['CEZAR AUGUSTO DA ROSA', 'BILLY JOY VARGAS', 'VANESSA BONGALHARDO MORTOLA', 'LUIZ FERNANDO GORUP']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FORMULAÇÃO FOTOPOLIMERIZÁVEL, PROCESSO PARA FABRICAÇÃO DE HIDROGÉIS ZWITTERIÔNICOS, E SEUS USOS;['RUY CARLOS RUVER BECK', 'JOAO VITOR RAUPP DE OLIVEIRA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESPRENDIMENTO DE PARTICULADO EM SOLDAGEM;['LOURIEL OLIVEIRA VILARINHO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;COMBINAÇÃO DE CEFTIBUTENO E POLIMIXINA B COMO UMA NOVA ALTERNATIVA TERAPÊUTICA PARA TRATAR INFECÇÕES CAUSADAS POR KLEBSIELLA PNEUMONIAE RESISTENTE A CARBAPENÊMICOS E A POLIMIXINA;['ODIR ANTONIO DELLAGOSTIN', 'NATHALIA DA SILVA DAMACENO', 'MARIANA CARVALHO STURARO', 'NATHALIA MONTEIRO LINS FREIRE', 'MARCONE GOMES DOS SANTOS ALCANTARA', 'ALINE ANDRADE MARTINS', 'KADJA LUANA CHAGAS MONTEIRO', 'GLEYCE HELLEN DE ALMEIDA DE SOUZA', 'SIMONE SIMIONATTO', 'SIBELE BORSUK', 'THIAGO MENDONCA DE AQUINO', 'OSMAR NASCIMENTO SILVA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FOSFATASE ÁCIDA RECOMBINANTE RCP01850 DE CORYNEBACTERIUM PSEUDOTUBERCULOSIS E SEU USO EM VACINAS DE SUBUNIDADE PARA A LINFADENITE CASEOSA;['VASCO ARISTON DE CARVALHO AZEVEDO', 'RODRIGO BARROS DE PINHO', 'MARA THAIS DE OLIVEIRA SILVA', 'RAQUEL NASCIMENTO DAS NEVES', 'ANDREA DE FATIMA SILVA REZENDE', 'RICARDO WAGNER DIAS PORTELA', 'SIBELE BORSUK', 'ANA CARLA DIOGENES SUASSUNA BEZERRA', 'ANGELA SENA LOPES', 'FRANCISCO SILVESTRE BRILHANTE BEZERRA', 'ANDERSON RODRIGUES DOS SANTOS', 'ODIR ANTONIO DELLAGOSTIN']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;INVERSOR FOTOVOLTAICO NÃO-ISOLADO COM ESTRUTURA DE CONVERSOR CC-CC BOOST INTERLEAVED E CONVERSOR CC-CA TIPO MEIA-PONTE;['LEANDRO MICHELS', 'MIRELI BINDER VENDRUSCOLO', 'ADEMIR TOEBE', 'ANTONIO MANUEL SANTOS SPENCER ANDRADE']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;USO DO EXTRATO DE PLINIA TRUNCIFLORA (O. BERG) KAUSEL;['MIRIAN SALVADOR', 'CAROLINE CALLONI', 'MATHEUS PARMEGIANI JAHN']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE CULTIVO DE MICRORGANISMOS, COMPOSIÇÃO E USO DE ENDÓSPOROS;['SABRINA CARRA', 'LAURA ARAUJO CECATTO', 'CAMILLE EICHELBERGER GRANADA', 'ALESSANDRA RUSSI', 'JOSELI SCHWAMBACH', 'ELOANE MALVESSI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DETERMINAÇÃO DE CLORANFENICOL UTILIZANDO SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA;['EDNEI GILBERTO PRIMEL', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'SERGIANE CALDAS BARBOSA', 'DAIANE DIAS', 'LUIZ ANTONIO DE ALMEIDA PINTO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE CASCA DE ARROZ PARA DETERMINAÇÃO VOLTAMÉTRICA DE TARTRAZINA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'ANDREI VALLERAO IGANSI', 'LEANDRO SILVA DE ALMEIDA', 'MERY LUIZA GARCIA VIEIRA', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'DAIANE DIAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;IDENTIFICAÇÃO DE ESPÉCIES DE FUNGOS ASPERGILLUS UTILIZANDO A VOLTAMETRIA DE MICROPARTÍCULA IMOBILIZADA;['DAIANE DIAS', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'ELIZA RODRIGUES ACOSTA', 'JAQUELINE GARDA BUFFON', 'ELIEZER QUADRO ORESTE', 'LARINE KUPSKI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;IGNIÇÃO DE ARCO EM SOLDAGEM;['LOURIEL OLIVEIRA VILARINHO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ENRAIZADOR E FORTIFICANTE SUSTENTÁVEL DE LÍQUIDO PIROLENHOSO PARA ESTÍMULO RADICULAR EFICIENTE E FORTIFICAÇÃO DE PLANTA;['DARCI ALBERTO GATTO', 'LUCAS REINALDO WACHHOLZ ROMANO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA DE CONDUÇÃO FORÇADA EM TUBO DE SEMENTES;['FABRICIO ARDAIS MEDEIROS', 'MARLON SOARES SIGALES', 'EDUARDO WALKER', 'ANGELO VIEIRA DOS REIS', 'ROGER TOSCAN SPAGNOLO', 'GIUSEPE STEFANELLO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PRODUTO ALIMENTÍCIO ADOCICADO E SEU PROCESSO DE FABRICAÇÃO;['NEILA SILVIA PEREIRA DOS SANTOS RICHARDS', 'EDUARDO MENDES KLUMB', 'CRISTIANA BASSO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNAS QUIMÉRICAS RECOMBINANTES CONTENDO EPÍTOPOS DE PROTEÍNAS DE ACINETOBACTER BAUMANNII PARA USO COMO INSUMO BIOTECNOLÓGICO;['AMILTON CLAIR PINTO SEIXAS NETO', 'BEATRIZ BATISTA BRITES', 'DEBORAH TROTA FARIAS DE ALBERNAZ', 'FREDERICO SCHMITT KREMER', 'DAIANE DRAWANZ HARTWIG', 'LUCIANO DA SILVA PINTO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;OBTENÇÃO DE FICOCIANINA UTILIZANDO LÍQUIDO IÔNICO E EDTA;['LUISA SALA', 'SUSANA JULIANO KALIL']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;APLICAÇÃO DA VOLTAMETRIA DE MICROPARTÍCULA IMOBILIZADA NA TAXONOMIA DE BACTÉRIAS PATOGÊNICAS;['PEDRO EDUARDO ALMEIDA DA SILVA', 'RAFAELA VENDRAMIN COMUNELLO', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'FABIANA BARREIROS FERREIRA', 'ANA JULIA REIS', 'ELIEZER QUADRO ORESTE', 'ANANDA FAGUNDES GUARDA', 'DAIANE DIAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;DESENVOLVIMENTO E USO DE LINHAGEM CELULAR CONTÍNUA A PARTIR DE CÉLULAS DE ABELHAS APIS MELLIFERA AFRICANIZADAS;['GEFERSON FISCHER', 'WELLINGTON DA ROCHA DA SILVA', 'NADALIN YANDRA BOTTON', 'CRISTINA MENDES PETER', 'GILBERTO DAVILA VARGAS', 'SILVIA DE OLIVEIRA HUBNER', 'MARCELO DE LIMA']
UCPEL;UNIVERSIDADE CATÓLICA DE PELOTAS;DISPOSITIVO E MÉTODO DE SENSORIAMENTO NÃO INVASIVO DE SINAIS VITAIS;['BRUNO LOPES DALMAZO', 'GIANCARLO LUCCA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PROCESSO DE PRODUÇÃO DE AGENTE REMEDIADOR, COMPOSIÇÃO DE AGENTE REMEDIADOR E SEUS USOS;['CARLOS ALBERTO MENDES MORAES', 'MARVIN WITT RODRIGUES DE FREITAS', 'FERNANDA CARDOSO PEREIRA', 'TALITA CABELERA DA SILVA', 'REGINA CELIA ESPINOSA MODOLO', 'DEBORA MACHADO DE SOUZA', 'FELICIANE ANDRADE BREHM', 'DAIANE CALHEIRO EVALDT']
FEEVALE;UNIVERSIDADE FEEVALE;MÉTODO DE OBTENÇÃO DE EXTRATO HIDROALCOÓLICO LIOFILIZADO DAS FOLHAS DE ACACIA MEARNSII (ACÁCIA-NEGRA) E FORMULAÇÃO DE XAMPU PARABENO FREE CONTENDO O EXTRATO.;['ANA LUIZA ZIULKOSKI', 'LETÍCIA SCHERER KOESTER', 'PATRICIA WEIMER', 'ELEN LUIZA PELISOLI FORMAGIO ABDALLA', 'EDNA SAYURI SUYENAGA', 'FERNANDO DAL PONT MORISSO', 'ROCHELE CASSANTA ROSSI']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;DISPOSITIVO AUTOMATIZADO PARA CINESIOTERAPIA PASSIVA, PROCESSO DE MONTAGEM DO DISPOSITIVO E SISTEMA AUTOMATIZADO PARA CINESIOTERAPIA PASSIVA;['ALEXANDRE RAFAEL LENZ', 'TIAGO GIACOMELLI POLETTO', 'KATIÚCIA PEZZI CORLATTI', 'HUGO LUIS MARTINS DE SOUSA', 'ALEXANDRE JOSE GONCALVES AVINO', 'FERNANDA TRUBIAN', 'LUANA BELARMINO', 'MATHEUS PARMEGIANI JAHN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;BIOFILME NANOTECNOLÓGICO CONTENDO IMIQUIMODE E NANOCÁPSULAS POLIMÉRICAS PARA APLICAÇÃO EM MUCOSAS INTRABUCAIS;['ADRIANA RAFFIN POHLMANN', 'VICTOR DE MELLO PALMA', 'GRAZIELA SCHEUER GOMES', 'LUIZA ABRAHAO FRANK', 'FERNANDA VISIOLI', 'SILVIA STANISCUASKI GUTERRES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE PRODUÇÃO VERDE DE NANOPARTÍCULAS DE PRATA UTILIZANDO EXTRATO DE BIOFLOCOS DO SISTEMA DE TECNOLOGIA EM BIOFLOCOS (BFT) COMO AGENTE REDUTOR E ESTABILIZANTE;['FABIO FELIPE GABRIEL ROSELET', 'ROBSON MATHEUS MARREIRO GOMES', 'JOSE MARIA MONSERRAT']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSO DE RECUPERAÇÃO DE POLIHIDROXIALCANOATOS(PHAS) VIA EXTRAÇÃO FÍSICA;['ANDREA BITTENCOURT MOURA BACCARIN', 'MARIANE IGANSI ALVES', 'LIGIA FURLAN', 'KARINE LASTE MACAGNAN', 'ANGELITA DA SILVEIRA MOREIRA', 'CLAIRE TONDO VENDRUSCOLO', 'PATRICIA DIAZ DE OLIVEIRA', 'AMANDA AVILA RODRIGUES', 'ANE GERBER CROCHEMORE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DISPOSITIVO DE CORREÇÃO DE POSTURA;['CLARIANA FISCHER BRENDLER', 'NICOLLE MUSSOI PERICO', 'REGIO PIERRE DA SILVA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MÉTODO E APARELHO PARA OBTER UMA PIEZORESPOSTA;['LUCIO STRAZZABOSCO DORNELES', 'PLAMEN STAMENOV', 'THIAGO JOSE DE ALMEIDA MORI']
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;MÉTODO DE TRATAMENTO DE EFLUENTES CONTENDO CROMO HEXAVALENTE DA INDÚSTRIA DE GALVANIZAÇÃO;['RODRIGO DE ALMEIDA SILVA', 'RICHARD THOMAS LERMEN']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPOSIÇÃO ALIMENTÍCIA COMPREENDENDO A SERRAGEM DE PINUS SP, PROCESSO DE OBTENÇÃO DA COMPOSIÇÃO E USO DA MESMA PARA TRATAR DISLIPIDEMIA;['MARLI CAMASSOLA', 'LARISSA LOPES DA SILVA', 'GIOVANA RECH', 'KEOMA DA SILVA', 'MATHEUS PARMEGIANI JAHN']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PROCESSO DE TRATAMENTO DE EFLUENTES DA INDÚSTRIA DE SEMICONDUTORES;['CARLOS ALBERTO MENDES MORAES', 'CRISTIANE GUTH', 'GUILHERME GUSTAVO WEIGERT', 'WILLIAM TODENDI DUTRA', 'FELICIANE ANDRADE BREHM', 'GIOVANI CHEUICHE PESENTI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO DE AVALIAÇÃO ECOTOXICOLÓGICA BASEADO NA MEDIÇÃO DE BIOMARCADORES MOLECULARES;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'ANTONIO DUARTE PAGANO', 'DIEGO SERRASOL DO AMARAL', 'MARIANA HARTER REMIAO', 'TONY LEANDRO REZENDE DA SILVEIRA', 'VINICIUS FARIAS CAMPOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNA RECOMBINANTE DE ROTAVÍRUS G3P[12] E G14P[12] PARA USO COMO IMUNOBIOLÓGICO;['FABIO PEREIRA LEIVAS LEITE', 'VITORIA SEQUEIRA GONCALVES', 'RAFAELA PINTO DE SOUZA', 'VITORIA MULLER', 'MARIANA ANDRADE MOUSQUER', 'CARLOS EDUARDO WAYNE NOGUEIRA', 'NEIDA LUCIA CONRAD', 'RODRIGO CASQUERO CUNHA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SISTEMA DE DESLIGAMENTO RÁPIDO DE SISTEMAS FOTOVOLTAICOS A NÍVEL DE MÓDULO E DISPOSITIVO ASSOCIADO;['LEANDRO MICHELS', 'JOAO PAULO COSTA LIMA', 'LUCAS VIZZOTTO BELLINASO']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;MÉTODO DE PREPARAÇÃO DE FILME ANTIMICROBIANO DE QUITOSANA COM ADIÇÃO DE ÁCIDO MALTOBIÔNICO;['SABRINA CARRA', 'ROBERTA CRISTINA DE SOUZA', 'JAMILE ZENI', 'ELOANE MALVESSI', 'EUNICE VALDUGA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LARINGOSCÓPIO COM BOROSCÓPIO ACOPLÁVEL PARA USO EM PEQUENOS ANIMAIS E ROEDORES;['MARTIELO IVAN GEHRCKE', 'ANA CRISTINA BEITIA KRAEMER MORAES', 'RAFAEL GUERRA LUND']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;VIDA DE BICO ENERGIZADO DE CONTATO EM SOLDAGEM;['LOURIEL OLIVEIRA VILARINHO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PEPTÍDEOS SINTÉTICOS PARA TRATAR INFECÇÕES CAUSADAS POR ENTEROCCOCUS FAECALIS;['DAIANE DRAWANZ HARTWIG', 'THAIS LARRE OLIVEIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;USO DA PROTEÍNA RECOMBINANTE RCAM87009.1 DE ACINETOBACTER BAUMANNII COMO VACINA DE SUBUNIDADE;['AMILTON CLAIR PINTO SEIXAS NETO', 'STELLA BUCHHORN DE FREITAS', 'DAIANE DRAWANZ HARTWIG']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CONSTRUÇÃO VACINAL BASEADA EM BCG RECOMBINANTE EXPRESSANDO ANTÍGENO ASP-2 DE TRYPANOSOMA CRUZI;['FABIANA KOMMLING SEIXAS', 'GUSTAVO DOS SANTOS HARTLEBEN', 'GUILHERME SENNA DOS SANTOS', 'FERNANDA KANAAN DE AZAMBUJA', 'BARBARA DA ROCHA FONSECA', 'FERNANDA SEVERO SABEDRA SOUSA', 'SIBELE BORSUK', 'TIAGO VEIRAS COLLARES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;OLEOGÉIS À BASE DE ÓLEO DE AMENDOA DO CAROÇO DE BUTIÁ E CERA DE ABELHA COMO SUBSTITUTO DA GORDURA HIDROGENADA EM COOKIES;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'CAMILA DE OLIVEIRA PACHECO', 'ELDER PACHECO DA CRUZ', 'DANIELLE TAPIA BUENO', 'ALVARO RENATO GUERRA DIAS', 'ELESSANDRA DA ROSA ZAVAREZE']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;CONCENTRADO PROTEICO DE SORO DE LEITE E AÇAÍ (EUTERPE OLERACEA MART.) SOLÚVEL;['ILIZANDRA APARECIDA FERNANDES', 'JENEFHER BECKER', 'JULIANA STEFFENS', 'EUNICE VALDUGA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;IDENTIFICAÇÃO DE ESPÉCIES DE FUNGOS ASPERGILLUS UTILIZANDO A VOLTAMETRIA DE MICROPARTÍCULA IMOBILIZADA;['DAIANE DIAS', 'RAFAELA VENDRAMIN COMUNELLO', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'ELIZA RODRIGUES ACOSTA', 'JAQUELINE GARDA BUFFON', 'ELIEZER QUADRO ORESTE', 'LARINE KUPSKI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MÉTODO DE COLHEITA DE MICROALGAS ATRAVÉS DE COAGULAÇÃO/FLOCULAÇÃO UTILIZANDO FLOCULANTE VERDE A BASE DE QUITINA SOLUBILIZADA EM MEIO AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'VIVIANE DE CARVALHO ARABIDIAN', 'ANDREI VALLERAO IGANSI', 'FILIPE ECHART DE OLIVEIRA', 'DEBORA PEZ JAESCHKE', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'FELIPE KESSLER']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PROCESSO DE PRODUÇÃO DE AGENTE REMEDIADOR, COMPOSIÇÃO DE AGENTE REMEDIADOR E SEUS USOS;['CARLOS ALBERTO MENDES MORAES', 'MARVIN WITT RODRIGUES DE FREITAS ', 'FERNANDA CARDOSO PEREIRA', 'TALITA CABELERA DA SILVA', 'REGINA CELIA ESPINOSA MODOLO', 'DEBORA MACHADO DE SOUZA', 'RODRIGO SARTO FIGUEIREDO', 'FELICIANE ANDRADE BREHM', 'DAIANE CALHEIRO EVALDT']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;CISTERNA GEOTÉRMICA E PROCESSO DE MANUTENÇÃO DA MESMA;['FELIX ALBERTO FARRET', 'JAIRO AFONSO FREITAS PIRES']
FEEVALE;UNIVERSIDADE FEEVALE;BLOCOS INTERTRAVADOS COM ORIFÍCIOS PRÉ- DETERMINADOS;['ADRIANA TERESINHA DA SILVA DUTRA', 'JUNIOR JUNG', 'NEWTON AVILA DOS SANTOS', 'DAIANA CRISTINA METZ ARNOLD']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;COMPOSIÇÃO FARMACÊUTICA COMPREENDENDO ACHYROBICHALCONA E USO DO COMPOSTO ACHYROBICHALCONA. 2016, BRASIL.;['VALQUIRIA LINCK BASSANI', 'SARA ELIS BIANCHI', 'FABIO KLAMT', 'JULIANA POGLIA CARINI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;BOBINA INDUTORA EM CIRCUITO IMPRESSO PARA MEDIÇÃO NÃO-DESTRUTIVA DE DEFORMAÇÃO PERMANENTE E DESLOCAMENTOS HORIZONTAIS EM ESTRUTURAS DE PAVIMENTOS - ?CELL COIL 3D?;['LELIO ANTONIO TEIXEIRA BRITO', 'HENRIQUE FALCK GRIMM', 'FABRICIO PACHECO TRESCASTRO', 'MATHEUS FERREIRA MATUELLA', 'WASHINGTON PERES NUNEZ', 'LUIS ALBERTO HERRMANN DO NASCIMENTO']
