Sigla;Nome;Responsável
UPE;Aplicações de novos derivados acridínicos análises in silico, in vitro e in vivo.;SINARA MONICA VITALINO DE ALMEIDA
UFMT;BACIA DE EVAPOTRANSPIRAÇÃO COMO TECNOLOGIA SOCIAL PARA REDUÇÃO DE DÉFICIT EM SANEAMENTO;IBRAIM FANTIN DA CRUZ
UNIARP;Manutenção e Consolidação do Núcleo de Inovação e Tecnologia (NIT)/ Uniarp;IVANETE SCHNEIDER HAHN
UEL;LABORATÓRIO INTEGRADO DE LETRAMENTOS ACADÊMICO-CIENTÍFICOS;VERA LUCIA LOPES CRISTOVAO
FURG;(EMBRAPII) AUROS ROBOTICS - Monitoramento de Fruticultura por Visão Computacional;ALESSIO ALMADA DA COSTA
UFU;Desenvolvimento de metodologia utilizando o conceito BIM (Building Information Modeling) aplicada a projetos de subestações integrado à Sistema de Informação Geográfica (SIG) e ao Enterprise Resource Planning (ERP);ANDRE LUIS DE ARAUJO
UNIVASSOURAS;Atendimento Pediátrico em Sala de Parto - aplicativo para educação médica continuada;THAIS ROCHA SALIM
UNIVASSOURAS;Desenvolvimento de Envoltório Protetor de Cateter de Acesso Venoso Central Para Prevenção de Contaminação durante a Punção;EDUARDO TAVARES LIMA TRAJANO
FURG;iCrane - Guidaste Inteligente;SILVIA SILVA DA COSTA BOTELHO
UNIVÁS;APLICATIVO PARA AVALIAÇÃO PROGNÓSTICA POR PARÂMETROS ECOCARDIOGRÁFICOS EM PACIENTES COM COVID-19 EM UM HOSPITAL TERCIÁRIO;ALEXANDRE CIAPPINA HUEB
UFSM;DESENVOLVIMENTO DE CULTIVARES DE LINHAÇA PARA O NORTE DO RIO GRANDE DO SUL;VOLMIR SERGIO MARCHIORO
FURG;beeBot - Inspeção Indoor de Cascos FPSO;SILVIA SILVA DA COSTA BOTELHO
UNIGRANRIO;Empreender+;PAOLA BASTOS LOHMANN
UNIFAL-MG;Sustentabilidade populacional;DANIEL JULIANO PAMPLONA DA SILVA
UNESP-MARÍLIA;Gestão da informação em sistemas telemáticos de universidades (Brasil-Portugal): estudo com fundamentação nas competências em informação e midiática em relações advindas do isolamento social da covid-19 - Prof.a Tamara Guaraldo;TAMARA DE SOUZA BRANDAO GUARALDO
USP;O USO DAS TECNOLOGIAS DA INFORMAÇÃO PARA A DIFUSÃO DA ASTRONOMIA;ELYSANDRA FIGUEREDO CYPRIANO
UFS;Biblioteca de glossário de sinais para alfabetização científica de jovens surdos;DIVANIZIA DO NASCIMENTO SOUZA
UFRN;Teste de adição de biodiesel em óleo combustível marítimo no Brasil;AMANDA DUARTE GONDIM
UNIPAR;ESTUDOS DE DOESES REPETIDAS EM RATOS E COELHOS UTILIZANDO EXTRATO DE PLINIA CAULIFLORA. (Jabuticaba);EMERSON LUIZ BOTELHO LOURENCO
UFDPAR;PROGRAMA PIAU VIVE – Reprodução, desenvolvimento, aquicultura e repovoamento de espécie nativas da Bacia do Delta de Parnaíba;JOSENILDO DE SOUZA E SILVA
UNIFESP;Competências e habilidades para análise de dados: Conceitos e práticas para uma aprendizagem significativa;EMERSON GOMES DOS SANTOS
ITA;CTEDS: Engajamento Cooperativo de Ameaças Usando Enxames de Drones;DAVI ANTONIO DOS SANTOS
UFRN;Nanocatalisadores de alto desempenho a base de Ni suportados em sistema Al2O3-MgO otimizados com uso de Planejamento Estatístico de Mistura e Machine Learning para Produção de H2 via Reforma do CH4 e do Biogás;DULCE MARIA DE ARAUJO MELO
IFES;TIC+TAC: Tecnologia da Informação e Comunicação + Tecnologia de Automação e Controle, As Tecnologias Inteligentes, Prioritárias, Emergentes e Aplicadas;MARCO ANTONIO DE SOUZA LEITE CUADROS
UFAM;Pesquisa e Desenvolvimento de novas soluções tecnológicas em comunicação/sensoriamento sem fio e reconhecimento de padrões em vídeo para o aperfeiçoamento dos processos de produção aplicados à indústria 4.0 - NIMROD;CELSO BARBOSA CARVALHO
UFRN;Plataforma de processamento de dados estruturais e de processos para otimização de materiais para produção de energia e captura de CO2;DULCE MARIA DE ARAUJO MELO
UFRJ;ESTUDO CLÍNICO VETERINÁRIO DO EFEITO DA  POLILAMININA  ASSOCIADA A CONDROITINASE EM LESÕES MEDULARES CRÔNICAS EM CÃES;TATIANA LOBO COELHO DE SAMPAIO
UFRN;Desenvolvimento de geopolímeros ecológicos à base de metacaulim para cimentação e abandono de poços de petróleo-MGeo;JULIO CEZAR DE OLIVEIRA FREITAS
UFAM;Projeto Samsung UFAM para Educação e Pesquisa;MARLY GUIMARAES FERNANDES COSTA
UESC;Programa de Mestrado e Doutorado para Inovação da Universidade Estadual de Santa Cruz (PMDI-UESC 2022);FRANCISCO BRUNO SOUZA OLIVEIRA
UNESP-BAURU;Sistema de injeção independente de etanol em motores de ignição por compressão: avaliação de desempenho e de emissões (ROTA 2030);RODRIGO FERNANDO COSTA MARQUES
IFPA;APERFEIÇOAMENTO DE EQUIPAMENTO PARA ARMAZENAMENTO DESEMENTES À VÁCUO;PABLO RADAMES CABRAL DE FRANCA
UFRA;Filogenia molecular de especies de peixes nativos a partir de predicao in silico de marcadores microssatelites;MARILIA DANYELLE NUNES RODRIGUES
UFS;Letramento e leitura argumentativa de crianças e adultos em ações de inclusão sociodigital;ISABEL CRISTINA MICHELAN DE AZEVEDO
USP;INCT 2014: tecnologias ecoeficientes avançadas em produtos cimentícios;VANDERLEY MOACYR JOHN
UFS;GImpSI - Gestão dos Impactos da Salinidade em Isolamentos;TARSO VILELA FERREIRA
UFMG;TRANSCOLAR RURAL;MARCELO FRANCO PORTO
UNIR;Literatura & Cinema. Tecnologias de representação cinematográfica de Direitos Humanos em base literária;PATRICIA HELENA DOS SANTOS CARNEIRO
UFES;PAPESOL;DANIEL RIGO
UNIR;Literatura & Cinema. Tecnologias de representação cinematográfica de Direitos Humanos em base literária;PATRICIA HELENA DOS SANTOS CARNEIRO
USP;PESQUISA E DESENVOLVIMENTO DE NOVAS TERAPIAS PARA PACIENTES COM COVID19;CRISTIANE RODRIGUES GUZZO CARVALHO
UFRPE;Catalisa: Catalisador à base de biocarvão de torta residual para a produção;IVONEIDE DE CARVALHO LOPES BARROS
IFGOIANO;Avaliação da Atividade Antiparasitária de Óleos Essenciais de Plantas do Cerrado Goiano;HERBERT JUNIOR DIAS
UEL;DETECÇÃO DE PROBLEMAS CARDÍACOS EM TEMPO REAL ATRAVÉS DA ANÁLISE DO RITMO CARDÍACO;WESLEY ATTROT
UFRN;Sertões, fronteiras e conhecimento científico: ações de consolidação do Programa de Pós-Graduação em História do CERES (PPGHC-UFRN);HELDER ALEXANDRE MEDEIROS DE MACEDO
UFPE;Desenvolvimento tecnológico de formas farmacêuticas contendo derivados padronizados das folhas de Eugenia uniflora Linn. (Myrtaceae) - Pitangueira;LUIZ ALBERTO LIRA SOARES
UNILA;LARICANN: uso de canabinoides no tratamento da dor e inflamação na osteoartrite canina: estudo clínico randomizado controlado por placebo;FRANCISNEY PINTO DO NASCIMENTO
UFMG;Inovação e empreendedorismo em neurociência do comportamento motor;GUILHERME MENEZES LAGE
UFPA;Mina do Futuro: Implantação do Berçário de Startups destinadas ao Desenvolvimento de Aplicações Inteligentes Para a Smart City Canaã dos Carajás;ARMANDO LIRIO DE SOUZA
UNILA;CPF study: efeito dos canabinoides THC e CDB combinados sobre os sintomas motores e não motores da doença de Parkinson: um ensaio clínico, duplo-cego, randomizado e controlado por placebo;RUI DANIEL SCHRODER PREDIGER
IFRS;Enogastronomia: Possibilidades e potencialidades regionais;HERNANDA TONINI
UFMG;Inteligência artificial para apoio ao diagnóstico de Alzheimer utilizando Ressonância Magnética e aplicativo inteligente para avaliação clínica;HANI CAMILLE YEHIA
IFRS;Desenvolvimento e aprimoramento de aplicativo mobile conectado com estações meteorológicas para rastreabilidade da produção agrícola e monitoramento das condições climáticas;MARCUS ANDRE KURTZ ALMANCA
IFRS;Aplicação de um plano de negócios em um vinícola familiar e desenvolvimento de experiências enoturisticas;TATIANE PELLIN CISLAGHI
IFRS;Diagnóstico e sistema de acompanhamento para implantação de programa de gestão para a sustentabilidade;SHANA SABBADO FLORES
IFRS;Diagnóstico de Indicação Geográfica nos Campos de Cima da Serra.;SHANA SABBADO FLORES
UFCAT;Estudo de viabilidade para cidades inteligentes;DALTON MATSUO TAVARES
IFRS;Click-Up: implantação de uma pré-incubadora no IFRS Campus Bento Gonçalves;RONALDO SERPA DA ROSA
IFRS;PIPA IFmakeRS – Pesquisar, Inovar, Prototipar e Aprender;DELAIR BAVARESCO
ITA;Projeto Tripulante Virtual - Autonomous Search System;FILIPE ALVES NETO VERRI
ITA;Sistema de Detecção de Incêndio com Drones Utilizando IA;FILIPE ALVES NETO VERRI
UEL;DESCOBERTA DE SUBSTÂNCIAS-LÍDERES ANTIVIRAIS PARA O COMBATE DA COVID-19 A PARTIR DE UMA QUIMIOTECA DE AMPLA DIVERSIDADE ESTRUTURAL (CAPES FARMÁCOS);GERSON NAKAZATO
IFSC;Desenvolvimento de ferramentas de gestão da proteção radiológica;ANDREA HUHN
IFSP;Desenvolvimento e diversificação de aplicações de ligas especiais Cu-Nb nos setores agro, de transporte e de aeronáutica;GIVANILDO ALVES DOS SANTOS
UFT;SOFTEX 5G RESIDÊNCIA EM TIC;HUMBERTO XAVIER DE ARAUJO
UEL;DESENVOLVIMENTO DE PROCESSOS DE AMOSTRAGEM E EXTRAÇÃO PARA PESTICIDAS NO AR ATMOSFÉRICO E EM ÁGUAS DE PRECIPITAÇÃO;MARIA CRISTINA SOLCI
UFOP;UFOP, Startup Epsilon - Inovação e Desenvolvimento em Equipamentos para o Agronegócio e indústria mineral;ALAN KARDEK REGO SEGUNDO
UERJ;[AA-RMSG] Modelagem matemática de aletas a altas temperaturas;ROGERIO MARTINS SALDANHA DA GAMA
UFMA;MARANHÃOBIOTECH: EXPLORANDO A BIODIVERSIDADE MARANHENSE PARA INOVAÇÃO EM SETORES FARMACÊUTICO, COSMÉTICO E ALIMENTÍCIO;ARAMYS SILVA DOS REIS
UNEMAT-BARRA DO BUGRES;FORTALECIMENTO DO PROGRAMA DE PÓS-GRADUAÇÃO EM LINGUÍSTICA DA UNIVERSIDADE DO ESTADO DE MATO GROSSO: INTEGRAÇÃO, FORMAÇÃO DE PESSOAL E CONSOLIDAÇÃO CIENTÍFICA E ACADÊMICA NA FRONTEIRA OESTE DO BRASIL;SILVIA REGINA NUNES
UNIARP;PROJETO INTEGRADOR: Inovação e sustentabilidade do setor agroindustrial;CRISTINE VANZ BORGES
UFSC;[Caumo] Associação de compostos de coordenação e antifúngicos como estratégia para a terapia sinérgica da ceratite amebiana;KARIN SILVA CAUMO
UFOP;INCULTEC: ecossistemas de inovação, empreendimentos e empreendedorismo da UFOP;FRANCISCA DIANA FERREIRA VIANA
UFOP;Residência pedagógica em Artes na Universidade Federal de Ouro Preto;ERNESTO GOMES VALENCA
UEL;COOPERAÇÃO INTERNACIONAL : Identificação, síntese e avaliação do potencial leishmanicida e imunomodulador de novos peptídeos: estudo in sílico, in vitro e in vivo;WANDER ROGERIO PAVANELLI
UFMG;Globalizing Animals;REGINA HORTA DUARTE
UFCG;RESÍDUOS DE CAULIM: AGROMINERAIS E RECUPERAÇÃO DE ÁREA DEGRADADAS NO SEMIÁRIDO BRASILEIRO;VIVIANE FARIAS SILVA
UNIFAP;Fitocosméticos minimalistas, veganos e nanoestruturados;CAIO PINHO FERNANDES
UFMA;DESENVOLVIMENTO DE FORMULAÇÃO ANTIOXIDADE E FOTOPROTETORA A BASE DE MESOCARPO DE BABAÇU (Attalea speciosa);ARAMYS SILVA DOS REIS
FIOCRUZ-GEREB,FIOCRUZ BRASÍLIA;GESTÃO E GOVERNANÇA NO CAMPO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO EM SAÚDE (CT&IS);JOSE ANTONIO SILVESTRE FERNANDES NETO
FEMPAR;CRIAÇÃO DE PROTOCOLO CLÍNICO-CIRÚRGICO PARA PESQUISAS EM ESPECIALIDADES MÉDICAS;OSVALDO MALAFAIA
UFRN;Multiprova;DIEGO RODRIGO CABRAL SILVA
PUCSP;O QUE SE DEVE LER PARA CONHECER OS EUA;ANTONIO PEDRO
UFBA;Tecnologias inovadoras para a prevenção/enfrentamento de violência conjugal e para a promoção à saúde da família;NADIRLENE PEREIRA GOMES
UEMS;PLANO DE CONSOLIDAÇÃO DO PGEDU;MARIA SILVIA ROSA SANTANA
USP;Descrição da técnica cirúrgica híbrida para desobstrução de estenose subglótica em fundo cego com colocação de tubo T de Montgomery.;HELIO MINAMOTO
UFOP;Inteligência Artificial aplicada a Controle de Processos de Mineração (CNPq: 306394/2021-9);THIAGO ANTONIO MELO EUZEBIO
UFRB;Seleção recorrente em mamoneira assistida por fenotipagem de alto rendimento, marcadores de DNA e bioinformática;SIMONE ALVES SILVA
UNESP-PRESIDENTE PRUDENTE;A prática docente e o uso do software “Luz do Saber” como ferramenta de aprendizagem para alunos do Atendimento Educacional Especializado (AEE) na região do município de Paraipaba/CE.;AMAURI BOGO
UEL;Simulação realística no processo de ensino e aprendizagem na urgência e emergência;ELEINE APARECIDA PENHA MARTINS
UNB;LITIGÂNCIA AMBIENTAL NACIONAL E INTERNACIONAL COMO MEIO PARA A CONSERVAÇÃO E O USO SUSTENTÁVEL DOS RECURSOS AMBIENTAIS;CARINA COSTA DE OLIVEIRA
UFRJ;Desenvolvimento de produtos candidatos a aditivos para atuação em campos de produção de petróleo.;MICHELLE JAKELINE CUNHA REZENDE
UNIVASF;MONITORAMENTO DA QUALIDADE DO AR EM CIDADES DO POLO GESSEIRO DO ARARIPE: UMA SOLUÇÃO UTILIZANDO INTERNET DAS COISAS;MAX SANTANA ROLEMBERG FARIAS
UNB;A LITIGÂNCIA AMBIENTAL NO CONTEXTO DA GESTÃO SUSTENTÁVEL DOS RECURSOS MARINHOS;CARINA COSTA DE OLIVEIRA
IFES;Estudo analitico fisico no controle de inclusões não metálicas no lingotamento contínuo dos aços;ESTEFANO APARECIDO VIEIRA
UFRJ;Desenvolvimento de novos produtos derivados de biomassa e candidatos a aditivos para atuação em campos de produção de petróleo.;MICHELLE JAKELINE CUNHA REZENDE
UFRJ;Síntese de novos produtos com propriedades retardantes de chama.;MICHELLE JAKELINE CUNHA REZENDE
UFPA;MapBiomas Brasil;PEDRO WALFIR MARTINS E SOUZA FILHO
IFES;Estudo para otimizar o uso  de novos  isolantes térmicos a base de biomassa para uso em processos siderúrgicos - ISO22;ESTEFANO APARECIDO VIEIRA
UFRJ;Projeto Separação em Módulos de Membranas de Fibra Oca;FABIO PEREIRA DOS SANTOS
FIOCRUZ-GEREB,FIOCRUZ BRASÍLIA;EDUCOMUNICAÇÃO E A VACINAÇÃO DO HPV: DO INSTAGRAM AO OLHAR DOS JOVENS;ALINE GUIO CAVACA
FURG;ORUS 2.0 - Pesquisa Tecnológica em Sistemas Autônomos e Robóticos Para a Indústria;PAULO LILLES JORGE DREWS JUNIOR
UNB;Estudo dos efeitos adversos da radioterapia em cabeça e pescoço;ELIETE NEVES DA SILVA GUERRA
UFBA;Implementando técnicas, processos e tecnologias de fabricação digital: desenvolvimento e inovação de elementos construtivos em Salvador;RODRIGO SCHEEREN
IFCATARINENSE;Estudo da viabilidade em usar método colorimétrico para análise da inibição da atividade microbiológica causada por conservantes alimentares.;CRISTIANE VANESSA TAGLIARI CORREA
FURG;Desenvolvimento de materiais avançados sustentáveis empregando resíduos industriais e suas aplicações tecnológicas e ambientais - CLUSTER INOVACLEAN-RS;GILBER RICARDO ROSA
UNIVASSOURAS;PRESSÃO EXPIRATÓRIA POSITIVA NAS VIAS AÉREAS (EPAP) COMO MÉTODO DE AUXÍLIO NA DECANULAÇÃO DA TRAQUEOSTOMIA;FILIPE MOREIRA DE ANDRADE
IFCATARINENSE;PROTEINOGRAMA E DESEMPENHO ZOOTÉCNICO DA SUPLEMENTAÇÃO ENERGÉTICA EM LEITÕES;SORAYA REGINA SACCO SURIAN
UNIVASSOURAS;PROTÓTIPO DE DISPOSITIVO DE COMPRESSÃO HEMOSTÁTICA RADIAL;MARCO AURELIO DOS SANTOS SILVA
UNIVASSOURAS;DESENVOLVIMENTO DE PROTETOR UNIVERSAL PARA TRANSDUTORES DE ULTRASSONOGRAFIA;EDUARDO TAVARES LIMA TRAJANO
IFCATARINENSE;Prototipagem 3D de implantes ortopédicos veterinários contendo compostos racionalmente sintetizados (CRSs);MARIO LETTIERI TEIXEIRA
UTFPR;Localização Indoor e Automação por Visão Computacional com Dispositivos IoT;PAULO ROGERIO SCALASSARA
IFCATARINENSE;Uso de leite de transição como uma alternativa ao colostro em pó em bezerros leiteiros;ELIZABETH SCHWEGLER
UNOCHAPECÓ;TCC Startup / Inovação Aberta - transformando disciplinas e trabalhos de conclusão de curso em negócios e soluções inovadoras;RODRIGO BARICHELLO
UNOCHAPECÓ;Marketplace rural: aproximando compradores dos produtores rurais;GIVANILDO SILVA
UNOCHAPECÓ;UNO LABS - Laboratório de Inovação e Empreendedorismo;CLAUDIO ALCIDES JACOSKI
UNOCHAPECÓ;Programa de estruturação e consolidação do ecossistema de Ciência, Tecnologia e Inovação (CTI) do Centro de Inovação de Chapecó / Pollen Parque Científico e Tecnológico;RODRIGO BARICHELLO
USP;Labsampa. Laboratório para a documentação digital da Arquitetura Histórica em São Paulo;LUCIANO MIGLIACCIO
IFES;Coleta, caracterização e seleção de genótipos de gengibre (Zingiber officinale Roscoe), para fins comerciais e de conservação no estado do Espírito Santo.;ANA PAULA CANDIDO GABRIEL
UFC;JSantos_Estratégias conservacionistas e de desenvolvimento sustentável em áreas prioritárias para conservação no Ceará (UFC, SECRETARIA DO MEIO AMBIENTE DO CEARÁ - SEMA);JADER DE OLIVEIRA SANTOS
USP;Quantificação Automática do Escore de Cálcio Coronariano Utilizando Aprendizagem Profunda;CESAR HIGA NOMURA
UFC;JSantos_Insegurança hídrica e adaptabilidade às mudanças climáticas no semiárido cearense: resiliência e desafios socioambientais e territórios vulneráveis;JADER DE OLIVEIRA SANTOS
UFAL;AVALIAÇÃO E SEGURANÇA CLÍNICA DE COMBINAÇÃO FARMACOLÓGICA COM EXTRATO PIROLENHOSO DE PALMÁCEAS NO TRATAMENTO DA MALASSEZIOSE CANINA;PIERRE BARNABE ESCODRO
UFERSA;Desenvolvimento institucional da habitafor e capacitação de seus colaboradores em regularização fundiária com pesquisa aplicada - REURBFOR;ALMIR MARIANO DE SOUSA JUNIOR
PUCRS;DACCS - Captura e Armazenamento de Carbono Direto do Ar: estudo da integração e otimização dos processos para remoção de gases de efeito estufa;FELIPE DALLA VECCHIA
UFSCAR;CDMF - Centro de Desenvolvimento de Materiais Funcionais;ELSON LONGO DA SILVA
UFPA;Amostragem da biodiversidade e do potencial biotecnológico de microrganismos do Campus da UFAM em Manaus;AFONSO DUARTE LEAO DE SOUZA
UERJ;Modelagem Computacional e Impressão 3D em Saúde;ALEXANDRA MARIA MONTEIRO GRISOLIA
UNIC;Desenvolvimento e caracterização de biocerâmicas e formulações contendo bioativos de plantas medicinais para uso em odontologia.;ALEJANDRA HORTENCIA MIRANDA GONZALEZ
UFRJ;Ritmos urbanos: uma conribuição para a formulação de políticas públicas;PAULO CESAR DA COSTA GOMES
UNISC;Diagnóstico precoce de infecções relacionadas a cateteres venosos utilizando imagem termográfica por infravermelho em dispositivo móvel;MARI ANGELA GAEDKE
UFRJ;Democracia em quarentena: uma análise geográfica sobre a confiança e a adesão da população do município do Rio de Janeiro às medidas de isolamento social no cenário da pandemia da Covid-19;MARCOS PAULO FERREIRA DE GOIS
UNIPAMPA;REPOSITÓRIO DIGITAL TATU – INOVAÇÃO NA PESQUISA EM HISTÓRIA DA EDUCAÇÃO;ALESSANDRO CARVALHO BICA
UFSCAR;Comunicação e Expressão: Interfaces com ciência, tecnologia, sociedade e linguagem – FASE V;LUCIANA NOGUEIRA
ANDIFES;Gestão em Saúde: planejamento, coordenação, avaliação e melhorias das ações e processos dos serviços de saúde;ROSANA DA ROSA PORTELLA TONDOLO
UFSCAR;Comunicação e Expressão: Interfaces com ciência, tecnologia, sociedade e linguagem – FASE VI;DIRCEU CLEBER CONDE
UFRGS;DESENVOLVIMENTO DE  CRITÉRIOS DE ANÁLISE DE SUPORTES DE RISER - FADIGA E AVALIAÇÃO DE DEFEITOS;ROGERIO JOSE MARCZAK
UFRN;CIÊNCIA E CULTURA EM REGIÃO SEMI-ÁRIDA NORDESTINA: PRODUÇÃO E DIVULGAÇÃO DE MATERIAIS PARADIDÁTICOS A PARTIR DE CONHECIMENTOS ACUMULADOS SOBRE O SERTÃO;MAGNOLIA FERNANDES FLORENCIO DE ARAUJO
UFSCAR;Comunicação e Expressão: Interfaces com ciência, tecnologia, sociedade e linguagem – FASE VI;DIRCEU CLEBER CONDE
UNIFESP;AZUL PATENTE V ACRESCIDO DE CARVÃO ATIVADO PARA BIÓPSIA DE LINFONODO SENTINELA;RENATO SANTOS DE OLIVEIRA FILHO
UNIFESP;DISPOSITIVO PARA OBTENÇÃO DE ENXERTO DE PELE EM MALHA;LYDIA MASAKO FERREIRA
UNIFESP;MÉTODO DE TERMOGRAFIA INFRAVERMELHA NA SAÚDE;LINDA OMAR BERNARDES DE ALVARENGA
UCS;ATE BR;MARCELO GODINHO
UFRN;CIÊNCIA E CULTURA EM REGIÃO SEMI-ÁRIDA NORDESTINA: PRODUÇÃO E DIVULGAÇÃO DE MATERIAIS PARADIDÁTICOS A PARTIR DE CONHECIMENTOS ACUMULADOS SOBRE O SERTÃO;MAGNOLIA FERNANDES FLORENCIO DE ARAUJO
UFSCAR;CDMF - Centro de Desenvolvimento de Materiais Funcionais;ELSON LONGO DA SILVA
UERJ;Luso-Brasilidades: práticas e trânsitos;GILDA DA CONCEICAO SANTOS
UFSCAR;Ativa-ETE: avaliação de tecnologias inovadoras voltadas à remoção de nitrogênio e micropoluentes em ETE;PEDRO SERGIO FADINI
UERJ;Programa de Pós-Graduação em Letras da UERJ: manutenção e desenvolvimento do programa;VIVIANE DA SILVA VASCONCELOS
UERJ;Programa de Pós-Graduação em Letras da UERJ: continuidade e manutenção da reformulação e da revitalização do programa 2;TANIA MARIA NUNES DE LIMA CAMARA
FEMPAR;CRIAÇÃO DE UM NOVO DISPOSITIVO PARA INDUÇÃO DE QUEIMADURAS POR CONTATO.;ARYEL HEITOR FERREIRA
UFRJ;Aplicação Industrial e Ambiental de Bio-produtos Microbianos;ALANE BEATRIZ VERMELHO
PUCRS;Rede de Inteligência Artificial Ética e Segura - RAIES;NYTHAMAR HILARIO FERNANDES DE OLIVEIRA JUNIOR
UFSC;Análises da composição química de extrato biofertilizante da macroalga Kappaphycus alvarezii cultivada em Santa Catarina;MARCELO MARASCHIN
UFRJ;AJL-Montagem de Conjunto Motor Multicilíndrico Diesel de Propulsão Marítima Acoplado a Dinamômetro;ALBINO JOSE KALAB LEIROZ
UFRJ;DESENVOLVIMENTO DO ROBÔ SUBMARINO LUMA PARA ESTUDOS DE BIODIVERSIDADE E IMPACTO AMBIENTAL NA ANTÁRTICA.;LIU HSU
UEMG;Laboratório Opcevê;RACHEL DE SOUSA VIANNA
UFSC;SUÍTE INTEGRADA DE SIMULADORES MATEMÁTICOS PARA DEFINIÇÃO DE AÇÕES NO GERENCIAMENTO DE ÁREAS CONTAMINADAS VISANDO O ENCERRAMENTO DE PASSIVOS DA INDÚSTRIA DO PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS .;ADMIR JOSE GIACHINI
UFSC;Produção sustentável de albumina sérica bovina (BSA) recombinante;BORIS JUAN CARLOS UGARTE STAMBUK
UFSC;Sistema Termodinâmico de Monitoramento de Fontes (STMF): Otimização e viabilização da aplicação comercial para o monitoramento e recuperação de áreas contaminadas por NSZD (depleção de contaminantes na zona da fonte) e ANM (atenuação natural monitorada).;ADMIR JOSE GIACHINI
FEEVALE;Capacidades para Cocriação de Valor Social;SERJE SCHMIDT
FEEVALE;RS³ - Conexão, Capacitação e Captação para o Ecossistema Regional de Inovação de TIC;PAULO RICARDO MUNIZ BARROS
FEEVALE;Turismo e desenvolvimento socioeconômico no Vale Germânico/RS, no contexto de territórios criativos;MARY SANDRA GUERRA ASHTON
UCS;IHR-1 Fadiga;ALEXANDRE VIECELI
FEEVALE;Circulando: Economia circular compartilhada;VANUSCA DALOSTO JAHNO
FEEVALE;INCT Vigilância Genômica de Vírus e Saúde Única;FERNANDO ROSADO SPILKI
UNIFESP;PRODUÇÃO DE LIVRO PARA O MANEJO DÊ TRAQUEOSTOMIA;ELVIO BUENO GARCIA
UFSC;Produção de terpenóides e compostos orgânicos voláteis por leveduras selvagens e Saccharomyces cerevisiae geneticamente modificadas a partir de resíduos vegetais;SERGIO LUIZ ALVES JUNIOR
FEEVALE;PROGRAMA INSTITUCIONAL DE BOLSAS DE PÓS-GRADUAÇÃO (PIBPG);FERNANDO ROSADO SPILKI
UNISC;DETECÇÃO RÁPIDA DE PATÓGENOS TRANSMITIDOS PELA CIGARRINHA (Dalbulus maidis) NA CULTURA DO MILHO (Zea mays);ALEXANDRE RIEGER
UFRN;Práticas pedagógicas bilíngues no contexto educacional de aprendizagem matemática: Multiplicando experiências para o desenvolvimento autorregulatório do estudante surdo;FLAVIA ROLDAN VIANA
UNISC;BIOESTIMULANTES PARA APLICAÇÃO EM SEMENTES: EXPLORAÇÃO BIOTECNOLÓGICA DE MICROALGAS;ROSANA DE CASSIA DE SOUZA SCHNEIDER
FEEVALE;Monitoramento da farmacoterapia com inibidores da tirosina quinase nilotinibe e dasatinibe em pacientes com leucemia mieloide crônica resistentes ao imatinibe: desenvolvimento de estratégias bioanaliticas e abordagem farmacogenética;MARINA VENZON ANTUNES
UFSJ;Rede NANOBIOMABS: Produção e uso de anticorpos monoclonais e seus fragmentos como biofármacos em nanomedicina;CARLOS DELFIN CHÁVEZ OLORTEGUI
UNISC;BIOESTIMULANTES PARA APLICAÇÃO EM SEMENTES: EXPLORAÇÃO BIOTECNOLÓGICA DE MICROALGA;ROSANA DE CASSIA DE SOUZA SCHNEIDER
UCB;Bernardo - Processo no: 00193-00000571/2021-21 Microbiote-se: kit de teste rápido da microbiota intestinal;BERNARDO PETRIZ DE ASSIS
UFRJ;ADEQUAÇÃO DE BIOTÉRIO DE ROEDORES;HELENA LOBO BORGES
FEEVALE;Trabalho, Informalidade e Precariado: panorama do mercado de trabalho informal de sujeitos negros na Região do Vale dos Sinos;SUELI MARIA CABRAL
UNIFESP;GUIA PARA CUIDADOS SOBRE LESÕES DE PELE NA TERMILIDADED DE VIDA E LESÃO TERMINAL DE KENNEDY;LEILA BLANES
UFSC;EXPLORANDO A FARMACOLOGIA DA TOSSE: DESENVOLVIMENTO DE MATERIAL DIDÁTICO SOBRE FÁRMACOS UTILIZADOS PARA O MANEJO DA TOSSE;DANIEL FERNANDES
UFSC;(Leonardo)  Pesquisa e Desenvolvimento de Metodologias para Prognóstico e Prevenção de Eventos Críticos de Poluição Atmosférica;RIZZIERI PEDRUZZI
PUCPR;Tecnologias para Visão Computacional e Aplicações;MARCELO RUDEK
FEEVALE;PESQUISA E CARACTERIZAÇÃO DE VÍRUS EM MORCEGOS FILOSTOMÍDEOS E MOLOSSÍDEOS EM ÁREAS URBANAS, PERIURBANAS E RURAIS NA REGIÃO METROPOLITANA DE PORTO ALEGRE E VALE DO RIO DOS SINOS, RIO GRANDE DO SUL;MATHEUS NUNES WEBER
UDESC;DESENVOLVIMENTO DE UM PROCESSO PARA MODIFICAÇÃO DE TECIDOS SINTÉTICOS ATRAVÉS DA DEPOSIÇÃO DE NANOPARTÍCULAS DE GRAFENO COM AUXILIO DO PLASMA;DANIELA BECKER
UFSCAR;Desenvolvimento de alternativas tecnológicas para uso de lodo de ETA como matéria-prima para produção de fertilizantes de liberação controlada;CAUE RIBEIRO DE OLIVEIRA
